,time_stamp,baro_1,baro_2,height_baro_1,height_baro_2,temperature_baro_1,temperature_baro_2,acceleration_x_imu_1,acceleration_y_imu_1,acceleration_z_imu_1,acceleration_x_imu_2,acceleration_y_imu_2,acceleration_z_imu_2,gyro_x_imu_1,gyro_y_imu_1,gyro_z_imu_1,gyro_x_imu_2,gyro_y_imu_2,gyro_z_imu_2
123289,291.54005,0.9422319,0.9421936,39441.028977065565,39441.066794569466,45.783512,43.934166,-10.629296703296705,0.6252527472527473,0.3449670329670329,-10.729912087912089,0.5318241758241758,0.1652967032967033,-41.74041748046875,-2.41851806640625,-3.5858154296875,-41.748046875,-2.89154052734375,-3.02886962890625
123290,291.58005,0.9422369,0.942208,39441.02404014647,39441.052575831905,45.78585,43.92952,-10.586175824175823,0.4383956043956044,0.1581098901098901,-10.55024175824176,0.6324395604395605,0.2802857142857143,-39.9169921875,-3.021240234375,-3.2806396484375,-40.76385498046875,-3.15093994140625,-3.89862060546875
123291,291.62005,0.9422412,0.9422348,39441.019794413005,39441.02611364991,45.776493,43.93649,-10.521494505494504,0.5605714285714286,0.1509230769230769,-10.593362637362638,0.6683736263736263,0.2874725274725275,-38.818359375,-3.47900390625,-3.12042236328125,-38.93280029296875,-2.63214111328125,-2.55584716796875
123292,291.66008,0.9422949,0.94218875,39440.966773435066,39441.071583558885,45.778835,43.931843,-10.399318681318682,0.8696043956043957,0.2012307692307692,-10.593362637362638,0.9055384615384616,-0.0431208791208791,-38.01727294921875,-2.471923828125,-2.70843505859375,-38.26904296875,-2.899169921875,-3.7078857421875
123293,291.700105,0.9423172,0.94224914,39440.94475613152,39441.01195465804,45.783512,43.931843,-10.334637362637364,0.6899340659340659,-0.0287472527472527,-10.28432967032967,0.8264835164835166,0.1437362637362637,-36.3311767578125,-1.82342529296875,-2.61688232421875,-36.61346435546875,-2.3651123046875,-4.72259521484375
123294,291.740055,0.9423244,0.9422854,39440.93764749581,39440.97615313199,45.781174,43.931843,-10.21246153846154,0.7330549450549451,0.2156043956043956,-10.1909010989011,0.8480439560439561,0.2371648351648352,-35.39276123046875,-2.0599365234375,-3.2958984375,-35.28594970703125,-3.1585693359375,-5.340576171875
123295,291.78005,0.9423803,0.9422684,39440.882458334156,39440.992938043906,45.778835,43.92952,-10.21246153846154,0.7474285714285716,0.3234065934065934,-10.16934065934066,0.7689890109890111,0.1796703296703297,-34.820556640625,-2.66265869140625,-3.9520263671875,-35.01129150390625,-2.00653076171875,-4.39453125
123296,291.82005,0.9424076,0.9423266,39440.855506451146,39440.93547542145,45.78585,43.934166,-10.111846153846152,0.8983516483516484,0.309032967032967,-10.075912087912087,0.8983516483516484,0.3162197802197802,-31.92901611328125,-2.09808349609375,-3.76129150390625,-32.8369140625,-2.95257568359375,-4.8828125
123297,291.860021,0.94234875,0.94236055,39440.91360681063,39440.9019568854,45.781174,43.938812,-9.960923076923075,0.8624175824175825,0.3305934065934066,-9.960923076923075,0.9702197802197802,0.3665274725274725,-31.50177001953125,-2.18963623046875,-5.39398193359375,-31.79168701171875,-1.8310546875,-6.37054443359375
123298,291.900097,0.9423996,0.94232914,39440.863404373355,39440.93296766797,45.776493,43.941135,-9.817186813186812,0.9702197802197802,0.4383956043956044,-9.917802197802198,1.078021978021978,0.2515384615384615,-30.05218505859375,-2.3651123046875,-6.56890869140625,-30.5023193359375,-2.9296875,-6.072998046875
